评论者,评论内容,评论日期
玛格丽特兔jiejie,爱我的话你都说，爱我的事你不做。涛，这辈子就这样了吗？今天，是分手的第十四天，我心痛...,09:12
要减肥成功吖,在一起第1928天 我们也分手了,09:12
啊涵小可爱,失而复得那么好的词为什么一定要用重蹈覆辙,09:12
哩给,一样一样的,09:11
做你的宝贝甜甜啊,我有时候就在想，有距离的人啊 走不到最后，是我没有勇气，也贪念现在的岁月,09:10
KQ18,第一次听这首歌 刚发给她截屏过去 第一次的恋爱结束了,09:09
绿色_______,喜欢喜欢💚,09:09
阿玖不吃鱼,曾经的我有多喜欢你，你不会知道，你也不会知道我为什么对于某个日期的执着，你也不会知道为什么我会因为你的一句话生气难过一整天，你知道我为什么喜欢绿色吗？因为初次相见你时，我穿了一件绿色的连衣裙，我觉得那天真的很美好。因为是你，所以我喜欢。因为我喜欢你，所以我放弃,09:09
秦欢喜不喜,绿色是爱情脏了的颜色,09:08
九离ok,爱我的话你都说 爱我的是你不做 这就是常态吧,09:08
小半吖a,谢谢学姐，不老！会加油的！,09:08
王好先生,绿色是爱的一道光😏,09:07
人间不值得zxw,其实我不喜欢玩游戏，可这是唯一能支撑我们的感情的东西了。你不会主动靠近，我就以游戏的方式多于你接触，即使我很菜,09:07
PantaQ1,越听越上瘾[西西奸笑],09:06
鹤翎公子,我最爱的颜色是蓝色,09:06
王诺彦Thyraz,看评论 在说这个绿色 不太懂这个含义 可以让我理解一下不,09:05
洛COMET,一个心甘情愿，一个装傻到底。这应该是上天安排好的吧！得不到也不用怨谁，就当成是缘分不够吧。不过，也应该庆幸，最起码我的世界有你，你的世界也有我！缘分上半生不够，那余生我陪你！！,09:05
楠辰以南,我念念不忘了很久 翻看了和你从开始到结束的聊天记录 也看到了你删除我之后 我那些对你说你却看不到的言语之后 我突然就释怀了 以后 再也不会主动联系你了 那么卑微的自己 我再也不想看见了 也终于明白了什么是差距 从此 与君是路人,09:04
我没有什么故事讲给你听,爱我的话你都说爱我的事你不做,09:04
假象哦,当难过比开心多的时候 就请你放弃他吧,09:04
不对味苏打,评论句句是故事,09:04
小奶a,有点真实,09:04
北城张圆圆丶,每次都来评论区看你们讲故事，还把自己蓝瘦的不要不要的。,09:04
吃的进行时,那个，昨晚月色真美，后半夜长沙打雷都上热搜了呢，嗯嗯现在下大雨了，那个，emm……,09:04
Mmue,希望你不是把这首歌当做我 qiao..,09:03
鍾意女友,绿色本来就很纯净 是爱情玷污了他,09:03
屌丝暖男,绿色本无错，弄脏他的是爱情💚,09:03
王王王岩阿,祝你辜负终老.而且长命百岁.,09:03
楠辰以南,好与坏 爱与不爱 心很明白,09:02
