评论者,评论内容,评论日期
关楠楠屁事嘛,说过会好好在一起.可转眼就爱上别人了.,06:00
关楠楠屁事嘛,是啊.,05:58
LIFElikeAbullshit,整,05:58
音悦网友,别再翻评论了，其实你也有故事，只是没说出来而已。,05:57
我的意中人在哪捡瓶子,你说你喜欢我，等我放下了坚硬的保护壳，你告诉我不爱了，,05:56
孟思思啊,真实,05:55
萌屁桃,都很真实的喧嚣着,05:54
萌屁桃,无数次被梦中的你以无数次不同的方式背叛气醒难过的痕迹留在了枕头上醒来的无助和焦灼煎熬,05:53
林林几许丶,火前留名,05:53
L大梦大遗,你说你喜欢绿色 那我祝你被绿,05:49
子鹤是你爹,赵公子你在吗？,05:48
豆芽的璨星星,睡醒啦……,05:48
小黎的舔狗,时间会让你习惯的 我体会过你的难受 也许她还会回来 也许你永远失去了,05:46
她才是苏丽珍,Me too,05:44
去体院馆也花钱,我是有多么爱你，你也答应做我的女朋友，可是我总觉得走不进你心里,05:44
释然om,南京,05:44
前人_,最近爱上了绿色,05:42
爱是陈锐,我也一样。,05:39
15762592967,若不是你突然闯进我生活 我怎会把死守的寂寞放任了 爱我的话你不说 爱我的事你不做 哈哈 💔,05:38
违心的悲伤,若不是你突然说，你爱我我又何必现在那么多的痛苦💔,05:37
LHN919,在一起1049天 分开的第四天，这四天的崩溃是从来没有过的状态，泪流不止 心脏绞着难受，睡不着觉，这也让我知道我多难受你也不会哄我也不会多看我一眼了。就这么一句话就把我撒手不管了。 你微信发不停 看到消息时的微笑 我只能说我羡慕她 你肯定会知道怎样宠她了。 再见 再也不要见了,05:33
来自终瑜,有些人相识一天就能恋爱，有些人认识了好几年都不敢表白，有些人在一起了好多年却没能走到最后，有些人分分合合兜兜转转还是会地老天荒。人生就是这么奇妙，遇到错的人做什么都好像是错的，遇到对的人怎样都是对的。,05:22
起名为难我啊,你在我左侧，却像隔着银河,05:15
笑yyyyyy,我很喜欢你 但是 我再也不会对你有任何期待了 祝你开心 也祝你 错过了我,05:14
你會潮噴嗎,哭着吃过饭的人 是能够走下去的,05:12
Weason-Chan,若不是你突然闯进了我的生活,05:11
能猜到我是谁吗,每时每刻在想你 时间永远在我身上凌迟,05:10
小人物9999,谁的新欢不是别人的旧爱,05:09
MissLori_,绿 一抹不染尘世的清凉与沧桑,05:09
MissLori_,记得要开心 开心是自己的 没人可以借 ​​.,05:08
十一月花满楼,你像一把烧的通红的刀，悬在我冰冷的心上。,05:03
请你加油xm,绿色是干净的颜色 无关爱情,05:02
维尼不在拥有小熊,瓦塔西瓦,05:01
AdamYD,爱我的话你都说 爱我的事你不做,04:59
十一月花满楼,百般挽留，抵不上你一句累了。,04:55
文穆清,忘不了就一直记得 每个人心里都有忘不掉的人，只是不被提起,04:55
关上所有的灯-,好 随你删 我知道 是我在别人身上渴求太多了,04:53
吴阿怪vi,我也是，前两天刚分手，之后过了一天发现她把我的所有全删了，唉，希望以后为了自己好好过下去吧,04:52
清-秀-猪,异地恋最长126天，最后因为你的你句心情不好分了 然后看见你换上了情头 为什么不直接告诉我 分手伤心一次 明白了为什么更伤心 还不如一次了断！,04:50
药水哥_刘波,没有药酱的世界没有了快乐,04:50
黄千嬅,没钱，没工作，女朋友也不要我了，最废的22岁,04:49
均哥cci,睡吧，晚了,04:44
阿璇de小可爱,喜欢又怕受伤,04:44
